"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2022","608.12","585.30","608.41","576.94","1.57M","5.06%"
"11/29/2022","578.82","584.09","587.00","576.77","562.92K","-0.77%"
"11/28/2022","583.34","593.78","598.13","580.42","1.06M","-1.44%"
"11/25/2022","591.84","596.93","597.90","591.84","408.89K","-1.99%"
"11/23/2022","603.85","595.18","610.00","595.18","874.97K","1.28%"
"11/22/2022","596.21","581.72","596.53","574.22","1.08M","2.74%"
"11/21/2022","580.29","581.20","583.79","575.10","849.77K","-2.17%"
"11/18/2022","593.16","599.62","599.93","584.80","1.12M","0.70%"
"11/17/2022","589.03","568.96","590.45","568.95","919.49K","2.14%"
"11/16/2022","576.70","583.52","583.95","573.80","1.42M","-3.48%"
"11/15/2022","597.47","606.75","608.32","586.54","1.67M","3.40%"
"11/14/2022","577.82","574.78","590.30","573.88","1.81M","0.24%"
"11/11/2022","576.44","560.78","578.62","558.49","1.98M","2.79%"
"11/10/2022","560.79","531.50","561.82","520.35","3.52M","14.57%"
"11/09/2022","489.46","494.51","504.22","488.91","1.30M","-2.81%"
"11/08/2022","503.59","498.25","505.99","491.06","2.32M","4.18%"
"11/07/2022","483.39","474.83","485.44","469.61","1.43M","3.12%"
"11/04/2022","468.76","462.35","469.61","454.33","1.59M","6.56%"
"11/03/2022","439.92","440.80","446.76","437.12","1.62M","-1.44%"
"11/02/2022","446.33","470.05","477.00","446.26","1.89M","-6.11%"
"11/01/2022","475.38","483.38","483.67","472.86","760.66K","0.63%"
"10/31/2022","472.42","479.04","480.88","471.65","1.06M","-3.43%"
"10/28/2022","489.18","469.86","489.87","468.89","1.44M","3.11%"
"10/27/2022","474.41","482.10","489.60","473.99","1.08M","-2.00%"
"10/26/2022","484.09","475.95","496.20","474.25","1.88M","-0.40%"
"10/25/2022","486.01","478.49","495.75","478.35","2.05M","2.76%"
"10/24/2022","472.97","470.43","476.09","459.60","2.39M","2.32%"
"10/21/2022","462.23","440.48","462.88","437.70","2.76M","5.71%"
"10/20/2022","437.27","431.25","448.92","428.78","2.09M","3.12%"
"10/19/2022","424.02","415.89","431.85","410.39","2.44M","6.27%"
"10/18/2022","398.99","407.38","409.17","393.19","1.32M","1.73%"
"10/17/2022","392.22","394.46","399.60","388.83","1.42M","3.45%"
"10/14/2022","379.13","404.38","405.62","378.60","1.73M","-6.48%"
"10/13/2022","405.40","364.91","410.73","363.15","2.78M","1.77%"
"10/12/2022","398.33","403.81","404.93","397.51","1.28M","-0.31%"
"10/11/2022","399.56","412.53","412.65","394.01","2.04M","-5.29%"
"10/10/2022","421.89","433.91","434.07","416.36","1.38M","-2.85%"
"10/07/2022","434.26","446.50","448.72","432.73","1.41M","-6.03%"
"10/06/2022","462.14","465.29","474.18","461.49","926.08K","-1.52%"
"10/05/2022","469.29","456.94","474.75","453.05","1.19M","0.90%"
"10/04/2022","465.11","461.21","467.77","455.78","1.95M","7.74%"
"10/03/2022","431.68","423.60","435.51","421.02","1.45M","3.93%"
"09/30/2022","415.35","414.00","428.05","413.95","1.08M","-2.91%"
"09/29/2022","427.78","425.61","428.71","419.23","1.14M","-3.05%"
"09/28/2022","441.23","426.14","443.42","423.17","957.08K","1.83%"
"09/27/2022","433.29","438.85","442.51","426.50","876.44K","0.58%"
"09/26/2022","430.81","434.09","440.77","429.12","1.16M","-1.22%"
"09/23/2022","436.14","433.60","436.94","427.35","1.36M","-1.11%"
"09/22/2022","441.04","450.70","452.19","439.10","952.91K","-3.05%"
"09/21/2022","454.92","461.55","476.17","454.86","783.91K","-1.52%"
"09/20/2022","461.96","458.95","466.53","457.36","906.84K","-1.94%"
"09/19/2022","471.11","459.65","472.99","459.65","646.68K","0.83%"
"09/16/2022","467.25","462.03","472.19","459.91","914.23K","0.34%"
"09/15/2022","465.65","472.54","478.36","462.90","853.48K","-2.60%"
"09/14/2022","478.10","476.97","481.53","471.10","663.75K","1.49%"
"09/13/2022","471.10","484.00","488.42","468.61","1.19M","-6.70%"
"09/12/2022","504.93","506.77","511.00","499.66","1.04M","0.78%"
"09/09/2022","501.00","495.52","503.17","495.30","1.01M","3.78%"
"09/08/2022","482.75","465.45","483.39","464.17","943.30K","1.27%"
"09/07/2022","476.68","468.89","480.97","465.60","745.45K","1.44%"
"09/06/2022","469.92","469.36","477.89","462.30","996.86K","0.58%"
"09/02/2022","467.19","479.86","486.90","466.01","1.15M","-0.58%"
"09/01/2022","469.92","477.92","479.02","460.89","1.67M","-4.09%"
"08/31/2022","489.94","500.85","501.58","486.70","936.04K","-0.62%"
"08/30/2022","493.02","506.55","507.65","487.45","1.01M","-1.37%"
"08/29/2022","499.88","506.32","511.35","499.40","754.18K","-1.97%"
"08/26/2022","509.94","539.55","539.73","508.77","1.23M","-5.52%"
"08/25/2022","539.74","522.36","540.22","521.76","758.47K","2.72%"
"08/24/2022","525.44","522.86","530.58","521.72","485.20K","-0.06%"
"08/23/2022","525.75","520.00","529.35","519.46","592.90K","1.09%"
"08/22/2022","520.07","529.29","530.85","518.61","795.76K","-4.62%"
"08/19/2022","545.26","557.19","558.85","544.43","794.63K","-2.86%"
"08/18/2022","561.30","557.28","565.93","555.30","580.68K","0.72%"
"08/17/2022","557.28","559.10","565.99","551.91","667.73K","-1.66%"
"08/16/2022","566.68","566.40","572.34","559.01","696.99K","-1.44%"
"08/15/2022","574.94","569.11","577.62","567.89","783.14K","-0.18%"
"08/12/2022","575.96","562.62","577.99","562.12","811.55K","2.41%"
"08/11/2022","562.41","565.74","574.35","561.12","833.32K","-0.64%"
"08/10/2022","566.05","558.72","566.09","550.47","1.08M","4.61%"
"08/09/2022","541.11","551.10","552.30","533.74","1.14M","-5.52%"
"08/08/2022","572.75","578.00","582.56","564.99","700.83K","-0.79%"
"08/05/2022","577.31","571.63","579.58","565.98","768.06K","-1.89%"
"08/04/2022","588.46","583.17","592.75","581.10","680.05K","0.79%"
"08/03/2022","583.86","570.00","587.67","569.25","825.93K","3.23%"
"08/02/2022","565.60","562.08","572.85","558.75","876.64K","-2.17%"
"08/01/2022","578.15","573.24","583.05","568.94","895.49K","0.65%"
"07/29/2022","574.44","561.45","576.92","559.50","1.21M","2.45%"
"07/28/2022","560.71","547.80","560.94","540.76","1.22M","2.66%"
"07/27/2022","546.18","533.62","549.85","532.59","1.11M","4.20%"
"07/26/2022","524.17","528.05","529.64","518.54","1.03M","-2.75%"
"07/25/2022","538.97","535.42","543.67","532.12","1.19M","0.88%"
"07/22/2022","534.26","542.41","546.85","529.23","1.46M","-1.48%"
"07/21/2022","542.27","530.00","543.24","524.60","2.28M","5.41%"
"07/20/2022","514.42","492.90","516.76","490.60","2.29M","3.22%"
"07/19/2022","498.36","484.87","500.91","484.05","1.41M","5.25%"
"07/18/2022","473.48","483.61","486.83","470.50","1.04M","-0.45%"
"07/15/2022","475.63","465.39","475.78","460.51","1.63M","4.10%"
"07/14/2022","456.90","442.20","458.88","434.55","1.08M","2.21%"
"07/13/2022","447.01","430.48","451.94","429.30","1.05M","2.88%"
"07/12/2022","434.49","440.57","444.45","431.88","847.96K","-1.04%"
"07/11/2022","439.06","449.56","450.17","437.91","746.54K","-3.07%"
"07/08/2022","452.95","444.61","455.30","440.66","739.08K","0.23%"
"07/07/2022","451.90","438.76","452.80","438.65","1.40M","5.37%"
"07/06/2022","428.88","433.25","437.59","425.35","1.46M","-0.81%"
"07/05/2022","432.40","419.19","433.05","412.67","2.78M","-3.87%"
"07/01/2022","449.83","455.30","457.96","443.45","1.57M","-5.47%"
"06/30/2022","475.88","474.15","484.63","464.13","866.36K","-1.80%"
"06/29/2022","484.62","491.10","493.70","482.02","847.45K","-1.18%"
"06/28/2022","490.41","508.05","511.42","489.54","847.23K","-3.47%"
"06/27/2022","508.04","514.97","517.05","505.66","696.54K","-1.40%"
"06/24/2022","515.26","499.05","515.55","498.30","907.82K","6.13%"
"06/23/2022","485.50","483.90","487.41","476.06","739.20K","0.00%"
"06/22/2022","485.50","486.44","496.64","482.44","846.89K","-1.79%"
"06/21/2022","494.35","488.98","497.84","488.47","1.08M","4.44%"
"06/17/2022","473.35","467.50","478.62","461.85","1.33M","1.11%"
"06/16/2022","468.15","479.76","484.05","465.50","1.22M","-7.36%"
"06/15/2022","505.33","499.38","512.20","494.00","841.67K","2.88%"
"06/14/2022","491.17","493.79","498.62","484.45","965.55K","-0.49%"
"06/13/2022","493.58","498.05","502.50","491.62","1.40M","-5.36%"
"06/10/2022","521.53","532.06","535.19","519.40","929.16K","-3.85%"
"06/09/2022","542.41","559.41","564.64","542.35","658.67K","-4.41%"
"06/08/2022","567.44","573.60","577.95","562.52","605.69K","-1.66%"
"06/07/2022","577.01","564.72","578.02","563.14","479.04K","0.93%"
"06/06/2022","571.69","579.61","583.46","569.43","483.30K","1.43%"
"06/03/2022","563.65","567.16","569.85","560.89","530.98K","-2.91%"
"06/02/2022","580.54","564.42","581.32","562.82","669.30K","2.99%"
"06/01/2022","563.66","577.44","579.75","557.00","542.29K","-2.19%"
"05/31/2022","576.29","584.59","584.81","572.85","822.37K","-1.22%"
"05/27/2022","583.38","572.63","583.86","572.10","844.03K","4.16%"
"05/26/2022","560.07","542.40","562.48","541.35","933.78K","2.19%"
"05/25/2022","548.08","541.69","551.85","538.03","832.61K","0.30%"
"05/24/2022","546.43","555.57","557.55","542.63","1.09M","-1.47%"
"05/23/2022","554.61","549.24","557.82","545.72","976.95K","4.09%"
"05/20/2022","532.84","541.44","542.39","514.17","1.21M","1.30%"
"05/19/2022","526.00","523.77","537.05","522.32","905.46K","-0.44%"
"05/18/2022","528.30","547.18","552.83","526.87","1.04M","-5.93%"
"05/17/2022","561.63","556.95","563.38","548.85","895.82K","4.99%"
"05/16/2022","534.95","533.25","540.98","528.00","757.75K","-2.44%"
"05/13/2022","548.32","540.56","551.29","538.21","946.83K","4.97%"
"05/12/2022","522.36","514.70","529.05","509.55","1.13M","0.20%"
"05/11/2022","521.30","531.28","544.18","520.47","1.30M","-0.40%"
"05/10/2022","523.37","529.20","530.41","512.33","1.23M","2.09%"
"05/09/2022","512.66","530.21","535.80","510.36","1.71M","-6.96%"
"05/06/2022","551.00","555.15","561.68","545.05","1.21M","-2.33%"
"05/05/2022","564.17","582.32","584.57","558.09","1.23M","-4.80%"
"05/04/2022","592.64","579.08","594.25","564.66","1.11M","3.85%"
"05/03/2022","570.68","566.63","575.44","563.02","825.31K","-0.07%"
"05/02/2022","571.09","558.74","571.52","553.54","1.15M","1.30%"
"04/29/2022","563.77","576.45","588.90","562.46","1.23M","-4.53%"
"04/28/2022","590.54","574.95","595.46","564.60","1.52M","6.04%"
"04/27/2022","556.88","552.09","567.38","544.00","1.90M","-0.63%"
"04/26/2022","560.43","585.15","587.48","559.90","1.80M","-6.57%"
"04/25/2022","599.82","592.73","600.39","583.67","2.07M","-1.28%"
"04/22/2022","607.61","615.08","620.86","607.47","1.09M","-2.00%"
"04/21/2022","619.98","645.06","648.81","617.74","940.67K","-2.20%"
"04/20/2022","633.91","650.76","652.55","628.99","1.86M","2.72%"
"04/19/2022","617.15","597.53","619.11","596.00","1.23M","1.91%"
"04/18/2022","605.58","597.05","613.86","595.77","576.95K","1.29%"
"04/14/2022","597.87","614.52","616.51","596.00","814.15K","-2.43%"
"04/13/2022","612.76","601.41","617.21","596.42","934.26K","3.16%"
"04/12/2022","594.00","613.07","622.50","592.00","1.07M","-0.63%"
"04/11/2022","597.74","607.04","610.63","597.13","859.59K","-2.16%"
"04/08/2022","610.93","621.42","622.41","610.00","840.96K","-2.30%"
"04/07/2022","625.30","624.53","632.10","612.78","713.51K","-0.51%"
"04/06/2022","628.51","626.09","639.31","617.40","1.11M","-2.78%"
"04/05/2022","646.46","674.02","675.15","645.79","1.25M","-5.05%"
"04/04/2022","680.83","672.49","681.54","669.99","731.41K","1.96%"
"04/01/2022","667.73","675.29","677.18","661.83","739.41K","-0.03%"
"03/31/2022","667.93","684.49","689.10","667.50","780.92K","-2.43%"
"03/30/2022","684.56","700.00","702.75","680.11","1.03M","-3.47%"
"03/29/2022","709.14","710.00","714.62","697.67","1.08M","2.06%"
"03/28/2022","694.83","680.11","695.00","676.00","687.31K","1.09%"
"03/25/2022","687.36","690.46","690.75","672.30","775.35K","-0.46%"
"03/24/2022","690.54","666.20","690.55","663.20","1.18M","3.78%"
"03/23/2022","665.36","668.80","679.37","663.60","999.05K","-3.39%"
"03/22/2022","688.74","688.00","698.10","685.30","1.11M","0.85%"
"03/21/2022","682.91","678.22","683.39","669.00","1.29M","0.45%"
"03/18/2022","679.86","649.24","683.40","647.40","1.69M","3.94%"
"03/17/2022","654.10","643.13","656.40","639.47","854.88K","0.53%"
"03/16/2022","650.63","621.44","651.00","617.15","1.82M","9.04%"
"03/15/2022","596.70","591.92","598.19","583.86","1.54M","3.32%"
"03/14/2022","577.55","599.55","601.50","577.31","1.62M","-1.42%"
"03/11/2022","585.85","614.00","615.00","584.88","818.99K","-2.37%"
"03/10/2022","600.07","599.54","608.55","596.18","735.55K","-3.42%"
"03/09/2022","621.34","609.15","627.00","595.00","1.59M","8.43%"
"03/08/2022","573.04","574.08","593.48","558.77","1.44M","-0.23%"
"03/07/2022","574.34","617.39","620.61","573.75","1.61M","-3.36%"
"03/04/2022","594.32","603.70","609.42","581.63","2.03M","-5.78%"
"03/03/2022","630.79","652.02","653.70","627.19","1.02M","-3.75%"
"03/02/2022","655.37","642.59","658.42","638.10","1.04M","3.34%"
"03/01/2022","634.21","660.21","665.10","627.58","1.10M","-4.85%"
"02/28/2022","666.51","647.65","672.57","647.65","1.98M","-0.09%"
"02/25/2022","667.12","656.91","667.14","650.00","1.30M","1.57%"
"02/24/2022","656.84","600.29","658.86","599.68","2.05M","3.97%"
"02/23/2022","631.73","651.08","654.45","631.01","997.02K","-1.33%"
"02/22/2022","640.27","638.50","653.00","629.86","933.97K","-1.17%"
"02/18/2022","647.83","652.12","657.77","640.99","899.51K","-0.40%"
"02/17/2022","650.43","659.31","662.22","650.00","1.02M","-2.02%"
"02/16/2022","663.86","651.00","666.00","644.67","610.03K","1.13%"
"02/15/2022","656.41","647.48","658.35","642.31","821.71K","4.54%"
"02/14/2022","627.91","626.15","634.95","620.00","890.19K","-0.05%"
"02/11/2022","628.24","657.54","660.32","625.25","1.12M","-4.36%"
"02/10/2022","656.88","654.59","677.62","653.00","961.21K","-3.45%"
"02/09/2022","680.37","670.79","682.23","663.88","841.99K","4.12%"
"02/08/2022","653.47","636.85","655.36","635.60","745.53K","0.53%"
"02/07/2022","650.03","654.15","661.41","648.55","520.32K","-0.43%"
"02/04/2022","652.81","648.05","661.21","643.30","863.27K","1.07%"
"02/03/2022","645.93","659.09","664.67","644.47","1.21M","-5.94%"
"02/02/2022","686.75","687.95","691.24","674.09","713.60K","0.77%"
"02/01/2022","681.48","682.55","683.71","666.27","944.98K","0.63%"
"01/31/2022","677.20","650.70","677.55","648.03","1.36M","5.00%"
"01/28/2022","644.97","633.60","644.98","620.67","1.34M","1.62%"
"01/27/2022","634.66","664.80","665.00","631.40","1.47M","-2.85%"
"01/26/2022","653.26","661.63","679.38","644.66","1.38M","0.72%"
"01/25/2022","648.57","652.64","668.16","643.82","2.10M","-5.65%"
"01/24/2022","687.42","666.05","688.64","648.63","2.83M","-1.05%"
"01/21/2022","694.73","707.29","721.20","694.71","1.69M","-1.66%"
"01/20/2022","706.46","724.89","729.98","706.21","1.54M","1.09%"
"01/19/2022","698.82","736.94","738.88","698.71","1.59M","-2.29%"
"01/18/2022","715.23","741.03","741.07","714.24","1.18M","-3.94%"
"01/14/2022","744.53","735.60","746.60","728.17","1.31M","1.98%"
"01/13/2022","730.08","772.41","777.92","728.64","1.63M","-1.63%"
"01/12/2022","742.17","739.31","749.45","735.00","959.78K","1.78%"
"01/11/2022","729.16","706.99","731.44","700.71","2.12M","0.27%"
